id,query,title,salary_from,salary_to,currency,employer,url,created_at
37,Аналитик программист,Финансовый контролер/financal controller,7500,8000,BYR,КИАТ,https://hh.ru/vacancy/121179387,2025-06-07 16:31:40.892564+00:00
38,Аналитик программист,QA инженер,100000,,RUR,Вирэнт,https://hh.ru/vacancy/121307125,2025-06-07 16:31:40.996637+00:00
39,Аналитик программист,Тестировщик ПО,,160000,RUR,Кронверк Лаб,https://hh.ru/vacancy/121423366,2025-06-07 16:31:41.105302+00:00
40,Аналитик программист,Backend разработчик python (junior),,150000,RUR,BND LLC,https://hh.ru/vacancy/121211572,2025-06-07 16:31:41.212323+00:00
41,Аналитик программист,Ведущий специалист цифровых проектов,120000,150000,RUR,АНО Хоккейный клуб Металлург,https://hh.ru/vacancy/121294956,2025-06-07 16:31:42.110159+00:00
42,Аналитик программист,Дизайнер презентаций,280000,,RUR,SberTech,https://hh.ru/vacancy/121367700,2025-06-07 16:31:42.218415+00:00
43,Аналитик программист,Аналитик,110000,110000,RUR,International Tobacco Group,https://hh.ru/vacancy/121404690,2025-06-07 16:31:42.326026+00:00
44,Аналитик программист,Middle+/Senior QA инженер,260000,303000,RUR,Sminex,https://hh.ru/vacancy/121433034,2025-06-07 16:31:42.434458+00:00
45,Аналитик программист,Тестировщик (Middle),,150000,RUR,Неватех,https://hh.ru/vacancy/121325714,2025-06-07 16:31:42.538193+00:00
46,Аналитик программист,Продуктовый QA Инженер (Junior),,110000,RUR,FunFlow (ООО Мобильные Игровые Решения),https://hh.ru/vacancy/121431605,2025-06-07 16:31:42.645244+00:00
47,Аналитик программист,Финансовый контролер/financal controller,7500,8000,BYR,КИАТ,https://hh.ru/vacancy/121179387,2025-06-07 16:31:42.753281+00:00
48,Аналитик программист,QA инженер,100000,,RUR,Вирэнт,https://hh.ru/vacancy/121307125,2025-06-07 16:31:42.859265+00:00
49,Аналитик программист,Тестировщик ПО,,160000,RUR,Кронверк Лаб,https://hh.ru/vacancy/121423366,2025-06-07 16:31:42.967449+00:00
50,Аналитик программист,Backend разработчик python (junior),,150000,RUR,BND LLC,https://hh.ru/vacancy/121211572,2025-06-07 16:31:43.076505+00:00
51,Аналитик программист,Ведущий специалист цифровых проектов,120000,150000,RUR,АНО Хоккейный клуб Металлург,https://hh.ru/vacancy/121294956,2025-06-07 16:39:00.063742+00:00
52,Аналитик программист,Дизайнер презентаций,280000,,RUR,SberTech,https://hh.ru/vacancy/121367700,2025-06-07 16:39:00.171353+00:00
53,Аналитик программист,Аналитик,110000,110000,RUR,International Tobacco Group,https://hh.ru/vacancy/121404690,2025-06-07 16:39:00.275443+00:00
54,Аналитик программист,Middle+/Senior QA инженер,260000,303000,RUR,Sminex,https://hh.ru/vacancy/121433034,2025-06-07 16:39:00.382135+00:00
55,Аналитик программист,Тестировщик (Middle),,150000,RUR,Неватех,https://hh.ru/vacancy/121325714,2025-06-07 16:39:00.489063+00:00
56,Аналитик программист,Продуктовый QA Инженер (Junior),,110000,RUR,FunFlow (ООО Мобильные Игровые Решения),https://hh.ru/vacancy/121431605,2025-06-07 16:39:00.598084+00:00
57,Аналитик программист,Финансовый контролер/financal controller,7500,8000,BYR,КИАТ,https://hh.ru/vacancy/121179387,2025-06-07 16:39:00.706961+00:00
58,Аналитик программист,QA инженер,100000,,RUR,Вирэнт,https://hh.ru/vacancy/121307125,2025-06-07 16:39:00.815295+00:00
59,Аналитик программист,Тестировщик ПО,,160000,RUR,Кронверк Лаб,https://hh.ru/vacancy/121423366,2025-06-07 16:39:00.924277+00:00
60,Аналитик программист,Аналитик,110000,110000,RUR,International Tobacco Group,https://hh.ru/vacancy/121404691,2025-06-07 16:39:01.033288+00:00
61,Аналитик программист,Ведущий специалист цифровых проектов,120000,150000,RUR,АНО Хоккейный клуб Металлург,https://hh.ru/vacancy/121294956,2025-06-07 20:45:34.781085+00:00
62,Аналитик программист,UX/UI-дизайнер,500,800,USD,ОсОО ДайверситиГоу,https://hh.ru/vacancy/121173022,2025-06-07 20:45:34.888669+00:00
63,Аналитик программист,Дизайнер презентаций,280000,,RUR,SberTech,https://hh.ru/vacancy/121367700,2025-06-07 20:45:34.999261+00:00
64,Аналитик программист,Аналитик,110000,110000,RUR,International Tobacco Group,https://hh.ru/vacancy/121404690,2025-06-07 20:45:35.111992+00:00
65,Аналитик программист,Продуктовый QA Инженер (Junior),,110000,RUR,FunFlow (ООО Мобильные Игровые Решения),https://hh.ru/vacancy/121431605,2025-06-07 20:45:35.224761+00:00
66,Аналитик программист,Тестировщик (Middle),,150000,RUR,Неватех,https://hh.ru/vacancy/121325714,2025-06-07 20:45:35.337810+00:00
67,Аналитик программист,Middle+/Senior QA инженер,260000,303000,RUR,Sminex,https://hh.ru/vacancy/121433034,2025-06-07 20:45:35.449589+00:00
68,Аналитик программист,Финансовый контролер/financal controller,7500,8000,BYR,КИАТ,https://hh.ru/vacancy/121179387,2025-06-07 20:45:35.561187+00:00
69,Аналитик программист,Стажер-разработчик,50000,,RUR,Крит,https://hh.ru/vacancy/120905143,2025-06-07 20:45:35.674271+00:00
70,Аналитик программист,Тестировщик ПО,,160000,RUR,Кронверк Лаб,https://hh.ru/vacancy/121423366,2025-06-07 20:45:35.787836+00:00
71,Программист,Junior Frontend-разработчик,300000,500000,KZT,SIRIUS LTW,https://hh.ru/vacancy/121288916,2025-06-08 06:08:54.314458+00:00
72,Программист,Frontend-разработчик,2000,,USD,Железка,https://hh.ru/vacancy/121337444,2025-06-08 06:08:54.430448+00:00
73,Программист,React.is разработчик,1000,2000,USD,ФОРТВИЖН,https://hh.ru/vacancy/121120706,2025-06-08 06:08:54.542934+00:00
74,Программист,Frontend-разработчик,300000,,KZT,AIM tech,https://hh.ru/vacancy/121436107,2025-06-08 06:08:54.652846+00:00
75,Программист,Junior Backend разработчик,500,700,USD,ОсОО ДайверситиГоу,https://hh.ru/vacancy/121280718,2025-06-08 06:08:54.764833+00:00
76,Программист,Верстальщик/Frontend-разработчик (junior),60000,,RUR,Стоматология Ультра-Дент (ООО Ультра-Мед),https://hh.ru/vacancy/121426482,2025-06-08 06:08:54.878822+00:00
77,Программист,Frontend-разработчик,70000,150000,RUR,ИПК Биллинговый центр,https://hh.ru/vacancy/121402621,2025-06-08 06:08:54.992399+00:00
78,Программист,Разработчик фронтенд (junior),100000,100000,RUR,Компания ПЭК,https://hh.ru/vacancy/121432244,2025-06-08 06:08:55.097308+00:00
79,Программист,Frontend-разработчик,70000,120000,KGS,Aksoft ( Asanov Manas),https://hh.ru/vacancy/120825511,2025-06-08 06:08:55.208205+00:00
80,Программист,Web-разработчик сайтов,150000,,RUR,Бертэн,https://hh.ru/vacancy/121100186,2025-06-08 06:08:55.318219+00:00
81,Аналитик программист,Ведущий специалист цифровых проектов,120000,150000,RUR,АНО Хоккейный клуб Металлург,https://hh.ru/vacancy/121294956,2025-06-08 06:18:06.257422+00:00
82,Аналитик программист,Дизайнер презентаций,280000,,RUR,SberTech,https://hh.ru/vacancy/121367700,2025-06-08 06:18:06.369418+00:00
